Subject,"Start Date","All Day Event",Description,Private
"Свято перенесення Нерукотворного образу Господа Ісуса Христа (Третій Спас)",2022-08-29,1,"<a href='https://smeshinki.net/holiday/svyato-perenesennya-nerukotvornogo-obrazu-gospoda-isusa-hrista-tretiy-spas'  >Дивитись на сайті Smeshinki</a>",0
"Пророка Самуїла",2022-09-02,1,"<a href='https://smeshinki.net/holiday/proroka-samujila'  >Дивитись на сайті Smeshinki</a>",0
"Преподобного Аврамія Працелюбного, Печерського",2022-09-03,1,"<a href='https://smeshinki.net/holiday/prepodobnogo-avramiya-pracelyubnogo-pecherskogo'  >Дивитись на сайті Smeshinki</a>",0
"Апостола Фадея",2022-09-03,1,"<a href='https://smeshinki.net/holiday/apostola-fadeya'  >Дивитись на сайті Smeshinki</a>",0
"Віддання свята Успіння Пресвятої Богородиці",2022-09-05,1,"<a href='https://smeshinki.net/holiday/viddannya-svyata-uspinnya-presvyatoji-bogorodici'  >Дивитись на сайті Smeshinki</a>",0
"Священномученика Євтихія",2022-09-06,1,"<a href='https://smeshinki.net/holiday/svyashchennomuchenika-yevtihiya'  >Дивитись на сайті Smeshinki</a>",0
"Свято Різдва Пресвятої Діви Марії",2022-09-08,1,"<a href='https://smeshinki.net/holiday/svyato-rizdva-presvyatoji-divi-mariji'  >Дивитись на сайті Smeshinki</a>",0
"Стрітення Вишгородської (Володимирської) ікони Пресвятої Богородиці",2022-09-08,1,"<a href='https://smeshinki.net/holiday/stritennya-vishgorodskoji-volodimirskoji-ikoni-presvyatoji-bogorodici'  >Дивитись на сайті Smeshinki</a>",0
"Усікновення голови Святого пророка Івана Предтечі (суворий піст)",2022-09-11,1,"<a href='https://smeshinki.net/holiday/usiknovennya-golovi-svyatogo-proroka-ivana-predtechi-suvoriy-pist'  >Дивитись на сайті Smeshinki</a>",0
"Покладення Пояса Пресвятої Богородиці",2022-09-13,1,"<a href='https://smeshinki.net/holiday/pokladennya-poyasa-presvyatoji-bogorodici'  >Дивитись на сайті Smeshinki</a>",0
"Початок Церковного року (Новоліття)",2022-09-14,1,"<a href='https://smeshinki.net/holiday/pochatok-cerkovnogo-roku-novolittya'  >Дивитись на сайті Smeshinki</a>",0
"Свято Воздвиження Хреста Господнього",2022-09-14,1,"<a href='https://smeshinki.net/holiday/svyato-vozdvizhennya-hresta-gospodnogo'  >Дивитись на сайті Smeshinki</a>",0
"Чудо Архістратига Михаїла",2022-09-19,1,"<a href='https://smeshinki.net/holiday/chudo-arhistratiga-mihajila'  >Дивитись на сайті Smeshinki</a>",0
"Різдво Пресвятої Богородиці",2022-09-21,1,"<a href='https://smeshinki.net/holiday/rizdvo-presvyatoji-bogorodici'  >Дивитись на сайті Smeshinki</a>",0
"Передсвято Воздвиження Чесного Хреста Господнього",2022-09-26,1,"<a href='https://smeshinki.net/holiday/peredsvyato-vozdvizhennya-chesnogo-hresta-gospodnogo'  >Дивитись на сайті Smeshinki</a>",0
"Воздвиження хреста Господнього (піст)
",2022-09-27,1,"<a href='https://smeshinki.net/holiday/vozdvizhennya-hresta-gospodnogo-pist'  >Дивитись на сайті Smeshinki</a>",0
"Мучениць Віри, Надії, Любові та матері їх Софії",2022-09-30,1,"<a href='https://smeshinki.net/holiday/muchenic-viri-nadiji-lyubovi-ta-materi-jih-sofiji'  >Дивитись на сайті Smeshinki</a>",0
